filename,genre
"Three Drives, Max Styler - Greece 2000 (Remix) (Max Styler Rework)",TRUE
"Jaded, Tom & Collins, CRCLE - IBIZA (Original Mix)",TRUE
"&ME, Rampa, Adam Port, Nomi Ruiz - Pussy Power (Original Mix)",TRUE
Alfa Cornae - The Meaning (Original Mix),TRUE
Murk.Hybrid - Rastro de Ruina (Original Mix),TRUE
WhoMadeWho - Heads Above (NekliFF Remix) (NekliFF Remix),TRUE
Trace (UZ) - Selecta (Original Mix),TRUE
"Perra Inmunda, Chico Blanco - Como Se Dice (Extended Mix)",TRUE
"Jamie Jones, Jazzy - We Groovin (Extended Mix)",TRUE
"Kino Todo, Sima Noon - Translator (Sparrow & Barbossa Remix)",TRUE
Callum Hall - Make It Smooth (Extended Mix),TRUE
Corroder - Cataracta (Original Mix),TRUE
Deckert (DK) - Into The Unknown (Original Mix),TRUE
"Hugel, Divolly, Markward - All Night (Extended Mix)",TRUE
"Chemise, Purple Disco Machine - She Can't Love You (Purple Disco Machine Edit) (Purple Disco Machine Edit)",TRUE
White Cat Project - Groove's Rhapsody (Original Mix),TRUE
MaKabre - The Gatekeeper (Original Mix),TRUE
PAWSA - Roll Play [Quick Remix VIP] (CIBUS & YuB Quick VIP),TRUE
"Odymel, Fenrick - Rumble 108 (Original Mix)",TRUE
SAC & Steve Aguirre - Magdalena (Ramon Bedoya Remix),TRUE
"Ramon Bedoya, Giovanni Cather - Cabeza De Arena (Original Mix)",TRUE
Guy Gerber - What To Do (Remix) (Dor Danino Remix),TRUE
Ramon Bedoya - Shaker (O),TRUE
"SOFI TUKKER, Nono - Pick Up The Phone (Original Mix)",TRUE
"Eelke Kleijn, Leo Wood - Beg You (Original Mix)",TRUE
QMore - Kolora (Original Mix) [Disetti]promos - Kolora (Original Mix),TRUE
"Rafael, Mishell, Eliza Legzdina, Nariman - Another Dimension (Original Mix)",TRUE
"Sonny Fodera, blythe - Mind Still (Original Mix)",TRUE
Ministry Of Funk - Fascination (Original Mix),TRUE
Daniel Vas - For You (Extended Mix),TRUE
"Ollie BC, Miguelle, TONS - Un Tanto (Original Mix)",TRUE
"Ramon Bedoya, Juan Ddd, Nodus - My Dance (Original Mix)",TRUE
"Marian (BR), Samira - Saint and Sinners (Original Mix)",TRUE
"Adam Ten, Emma El Shir - Alor (Original Mix)",TRUE
"Marina Maximilian, Adam Ten, Mita Gami - Million Pieces (Original Mix)",TRUE
Muzik Box - Ear Candy (Ear Candy-Cubanito Mix),TRUE
Bad Boombox - Fitness (Original Mix),TRUE
Oscar Sanchez - Enjoyment (Original Mix),TRUE
"Miguelle & Tons, Barbara Doza - La Pista Es Mía (Club Mix)",TRUE
Rad&Co - Darling (Original Mix),TRUE
Abalaram - Chaleur (Extended Mix),TRUE
"Vintage Culture, Leftwing Kody, Anabel Englund - Coming Home (Extended Mix)",TRUE
"Rafael, Mishell, Eliza Legzdina, Nariman - Naughty (Original Mix)",TRUE
"Bob Shepherd, Da Clubbmaster - Sexy Eyes (Deep House Remix) (Deep House Extended Remix)",TRUE
"AYYBO, Taylr Renee - Obsession (Extended Mix)",TRUE
Claptone - Heartbeat EP (Heartbeat ft. Nathan Nicholson (Original Mix)),TRUE
Rammstein - Angst (Clean),TRUE
"Anina Owly, Thomas Klipps - Herzrasen (Original Mix)",TRUE
"Prospa, Kosmo Kint - Love Songs (Extended Mix)",TRUE
Andc - Storywalker (Original Mix),TRUE
"Ernesto Carrera (VE), Yuli Builes, Juan Mayorga, Mario Montoya, Ramon Bedoya - Dime Bebe (Original Mix)",TRUE
"Miss Monique, GENESI, Carl Bee - Nomacita (Extended Mix)",TRUE
"Sonny Fodera, MK, Clementine Douglas - Asking (Edit)",TRUE
"Ernesto Carrera (VE), Yuli Builes, Juan Mayorga, Mario Montoya, Ramon Bedoya - Orange (Original Mix)",TRUE
Troy - Occult (Original Mix),TRUE
"Diplo, Nicky Da B - Express Yourself (Mochakk Remix) (Mochakk Remix)",TRUE
"Adam Ten, Maori - Spring Girl (Extended Mix)",TRUE
"Prospa, Rahh - This Rhythm (Extended Mix)",TRUE
Bruno (HU) - Space Blast (Original Mix),TRUE
Funk Tribu - Phonky Tribu (FUNK TRIBU SPECIAL MIX),TRUE
"The Martinez Brothers, Tokischa - Kilo (Beltran Remix) (Beltran Remix)",TRUE
"Sweely, Jhobei, B.Love - R U Listening (Remix) (Sweely Remix)",TRUE
Eddy D'Amato - CHAMPION (Original Mix),TRUE
Soul Diva 69 - Soul Diva 69 (Original Mix),TRUE
Funk Tribu - Azul (Extended Mix),TRUE
Oscar Sanchez - Ganesha (Original Mix),TRUE
Klaas - Hit The Ground (Original Mix),TRUE
"Bad Boombox, Funk Tribu - Azul (Bad Boombox Extended Remix)",TRUE
"Ernesto Carrera (VE), Yuli Builes, Juan Mayorga, Mario Montoya, Ramon Bedoya - The Preacher (Original Mix)",TRUE
"MATTN, Uufo, Shogun - Late Night (Extended Mix)",TRUE
Krenon - Crunchy Race (Original Mix),TRUE
Ramon Bedoya - Dulce (Original Mix),TRUE
"Jonas Blue, Malive - Edge of Desire  (Franky Rizardo Remix) (Franky Rizardo Extended Remix)",TRUE
"Prospa, Josh Baker, RAAH - You Don't Own Me (Original Mix)",TRUE
"Mita Gami, Erez - Where's My Voice? (Original Mix)",TRUE
Ø [Phase] - Human Error (Stef Mendesidis remix),TRUE
Ails - Manipulated Perception (Original Mix),TRUE
Human Safari - Amor (Original Mix),TRUE
"Ivrish, NUR - Back It (Extended Mix)",TRUE
"Phantom Records, Jack Marlow - Who Do U? (Original Mix)",TRUE
NEENOO - Legit (Extended Mix),TRUE
"Bollmann, Creeds - Rampage (Creeds Remix)",TRUE
"Robert Armani, Van Czar - Planets Pt 2 (Original Mix)",TRUE
Layton Giordani - Hold It Down (DARE Extended Mix) (Dare Extended Mix),TRUE
"Marian (BR), Freenzy - Pakit Ban (Original Mix)",TRUE
7 Department - All About House Music (Original Mix),TRUE
Oscar Sanchez - Tororoi (Original Mix),TRUE
"Adam Ten, Rafael - Sweet Boy (Original Mix)",TRUE
Coldcut - Timber (Maceo Plex Remix),TRUE
"Pato Watson, Le Chev, Ria Bird - Inolvidable (Original Mix)",TRUE
"Bob Sinclar, Fisher (OZ) - World Hold On (Fisher Rework)",TRUE
"Timmo, Stoked - Back To The Oldschool (Extended Mix)",TRUE
"Ramon Bedoya, Ernesto Carrera (VE), Geral - El Tiempo Se Detiene (Original Mix)",TRUE
Sada Musica - Toxic Flow (Original Mix),TRUE
